Nome,Preço,Avaliação
Smartphone Xiaomi Redmi Note 12 128GB - 4GB Ram - Versao Global (Ice Blue),"R$1.019,00","4,7 de 5"
Smartphone Xiaomi Redmi Note 13 8+256G Global Version Powerful Snapdragon® performance 120Hz FHD+ AMOLED display 33W fast charging with 5000mAh battery (Black),"R$1.250,00","4,8 de 5"
Smartphone Xiaomi Redmi 12 4G 256GB - 8GB Ram (Versao Global) (Midnight Black),"R$1.000,00","4,6 de 5"
Smartphone Xiaomi Redmi 12C 128GB - 4GB Ram (Cinza),"R$715,00","4,7 de 5"
"Smartphone Xiaomi Redmi Note 13 Pro 5G 8GB+256GB Snapdragon 7s Gen 2, Câmera 200MP OIS, Carregamento Turbo 67W, 120Hz, AMOLED, NFC… (Black)","R$1.885,00","4,8 de 5"
Smartphone Xiaomi Redmi Note 13 6GB+128GB Global Version Powerful Snapdragon® performance 120Hz FHD+ AMOLED display 33W fast charging with 5000mAh battery (Blue),"R$1.190,00","4,8 de 5"
Smartphone Xiaomi Redmi 12 4G 256GB - 8GB Ram (Versao Global) (Sky Blue),"R$997,90","4,6 de 5"
Smartphone Xiaomi Redmi 12 4G 256GB - 8GB Ram (Versao Global) (Polar Silver),"R$1.029,00","4,6 de 5"
Smartphone Xiaomi Note 12 5G 256GB - 8GB Ram (Versao Global) (Ice Blue),"R$1.389,00","4,7 de 5"
"Celular Xiaomi Redmi 12C 128GB / 4GB RAM/Dual Sim/Tela 6.71"" / Câmeras 50MP+0.08MP e 5MP - Graphite Gray (Global)","R$750,44","4,6 de 5"
Smartphone Xiaomi Redmi Note 12 Pro 5G Dual SIM 256GB - 8GB Ram (Versao Global) (Midnight black),"R$1.829,00","4,7 de 5"
Smartphone Xiaomi Redmi Note 12 128GB - 4GB Ram - Versao Global (Onyx Gray),"R$920,00","4,7 de 5"
Smartphone Xiaomi Redmi 12C 128GB 6GB Ram (Versao Global) (Graphite Gray)(C3T),"R$799,90","4,6 de 5"
"POCO C65 8GB+256GB NFC MediaTek Helio G85 Octa Core 5000mAh 6.74"" 90Hz HD+ display 50MP Camera Global Version (Purple)","R$935,00","4,6 de 5"
"Smartphone Xiaomi Redmi Note 13 Pro 5G 12GB+512GB Snapdragon 7s Gen 2, Câmera 200MP OIS, Carregamento Turbo 67W, 120Hz, AMOLED, NFC (Black)","R$2.290,00","4,8 de 5"
Smartphone Xiaomi Poco M5 128GB 6Gb Black - Preto,"R$857,00","4,8 de 5"
"Xiaomi POCOPHONE X5 5G (8+256GB, Preto)","R$1.383,00","4,7 de 5"
Smartphone Xiaomi Note 12 4G 256GB - 8GB Ram (Versao Global) (Onyx Gray),"R$1.339,00","4,7 de 5"
Smartphone Xiaomi Redmi 12C 4G - 64GB + 3GB Ram (Versao Global) (Ocean Blue)(2212ARNC4L),"R$609,90","4,6 de 5"
Celular Xiaomi Redmi Note 12 128GB / 6GB RAM/Dual Sim/TelaP e 13MP - Onyx Gray - Preto,"R$1.199,00","4,8 de 5"
Celular ObaSmart Conecta verde 4G 64GB fácil de usar Obabox - OB027,"R$429,90","3,1 de 5"
"Smartphone E 2 Dourado 32GB 3G Wi-Fi Tela 5,0” Dual Chip Android 11 (Go Edition) Quad Core Multilaser – P9148","R$224,00","3,3 de 5"
Smartphone Multilaser E Pro 4G 32GB Wi-Fi 5.0 pol. Dual Chip 1GB RAM Câmera 5MP + 5MP Android 11 (Go edition) Quad Core - Preto - P9150,"R$192,50","3,4 de 5"
Película para Xiaomi Poco X5 Pro 5G - AntiBlue - Gshield,"R$79,97","3,5 de 5"
"Xiaomi POCO X5 5G Smartphone Dual Sim 256GB Memory 8GB RAM 6.67"" AMOLED Display 5000mAh 48MP+13MP CAM (verde)","R$1.434,89","4,7 de 5"
Smartphone Xiaomi Poco X5 5g Dual Sim 256gb 8gb Wildcat Blue India,"R$1.379,00","4,5 de 5"
Smartphone Xiaomi POCO M6 Pro 8GB+256GB Global Version Helio G99 Ultra 120Hz Flow AMOLED 64MP Triple Camera with OIS 67W turbo charging (Black),"R$1.330,00","4,5 de 5"
Smartphone Xiaomi Redmi Note 13 8GB+128GB Global Version Powerful Snapdragon® performance 120Hz FHD+ AMOLED display 33W fast charging with 5000mAh battery (Black),"R$1.139,39","5,0 de 5"
Smartphone Xiaomi Note 13 Pro 4G 256GB / 8GB Ram (Versao Global) (BLACK),"R$1.568,00","5,0 de 5"
"Smartphone Xiaomi Redmi ASmartphone Xiaomi Redmi A2 Dual SIM de 32GB / 2GB RAM de 6.52"" 8MP / 5MP - Preto (Global)2 Dual SIM de 32GB / 2GB RAM de 6.52"" 8MP / 5MP - Preto (Global)","R$485,00","4,4 de 5"
Smartphone Xiaomi POCO X6 5G 8GB+256GB Global Version NFC Snapdragon 7s Gen 2 Smartphone 120Hz FIow AMOLED 64MP Triple Camera With OIS (Black),"R$1.795,95","4,7 de 5"
Smartphone Xiaomi POCO X6 Pro 5G 12GB+512GB NFC Dimensity 8300-Ultra 64MP triple camera 67W 120Hz AMOLED Global Version (Cinza),"R$2.891,00","4,4 de 5"
Smartphone Xiaomi Redmi 12C 128GB 6GB Ram (Versao Global) (Lavender Purple)),"R$769,00","4,7 de 5"
Smartphone Xiaomi POCO X6 5G 12GB+256GB Global Version NFC Snapdragon 7s Gen 2 Smartphone 120Hz FIow AMOLED 64MP Triple Camera With OIS (Blue),"R$1.840,00","4,6 de 5"
Xiaomi Smartphone Redmi 12 4G 128GB - 4GB Ram (Versao Global) (Sky Blue),"R$839,44","4,6 de 5"
Smartphone Moto G14 128GB 4GB RAM Grafite,"R$764,10","4,6 de 5"
Smartphone Motorola Moto E13 4G 64GB 4GB RAM Verde,"R$627,00","4,6 de 5"
Smartphone Xiaomi Redmi Note 12 128GB - 4GB Ram - Versao Global (Onyx Gray)(M7),"R$945,00","4,6 de 5"
Smartphone Xiaomi POCO M6 Pro 12GB+512GB Global Version Helio G99 Ultra 120Hz Flow AMOLED 64MP Triple Camera with OIS 67W turbo charging (Black),"R$1.570,00","4,4 de 5"
Smartphone Xiaomi POCO X6 Pro 5G 12GB+512GB NFC Dimensity 8300-Ultra 64MP triple camera 67W 120Hz AMOLED Global Version (Preto),"R$2.740,00","4,4 de 5"
"Smartphone Xiaomi POCO C65 6GB+128GB MediaTek Helio G85 Octa Core 5000mAh 6.74"" 90Hz HD+ display 50MP Camera NFC Global Version","R$825,00","5,0 de 5"
Smartphone Moto G54 5G 256GB 8GB RAM Azul - Vegan Leather,"R$1.253,60","4,6 de 5"
Smartphone Xiaomi Note 12 4G 256GB - 8GB Ram (Versao Global) (Sunrise Gold),"R$1.286,99","4,8 de 5"
"Smartphone Xiaomi Redmi Note 13 Pro + 5G 12GB+512GB Câmera OIS 200MP, Tela MOLED Curva de 6,67 "", HyperCharge 120W, 120Hz,Global Version (Black)","R$2.849,00","4,6 de 5"
Smartphone Redm 13c de 256gb 8 de ram - Preto,"R$909,00","4,7 de 5"
"Smartphone Xiaomi POCO C65 Global Version 8GB+256GB MediaTek Helio G85 Octa Core 5000mAh 6.74"" 90Hz HD+ display 50MP Camera NFC (Blue)","R$958,00","4,5 de 5"
Smartphone Xiaomi Poco X6 5G 256GB / 8GB Ram (Versao Global) (Azul),"R$1.755,00",
Xiaomi SMARTPHONE REDMI NOTE 12 8GB/256GB DUAL VERDE (NOTA 12 8-256 GRA),"R$1.299,90","4,7 de 5"
Smartphone Xiaomi POCO X6 Pro 5G 12GB+512GB Global Version NFC Dimensity 8300-Ultra 64MP triple camera 67W 120Hz AMOLED (Yellow),"R$2.755,00","4,8 de 5"
Smartphone Xiaomi Redmi Note 11S 5G 128GB Preto 6GB Ram,"R$1.107,00","4,6 de 5"
Smartphone Xiaomi Redmi Note 11S 6GB RAM 128GB Graphite Gray (Cinza),"R$1.349,90","4,7 de 5"
Smartphone Xiaomi Redmi 12C Graphite Gray 4GB Ram 128GB,"R$720,90","4,4 de 5"
"Smartphone Xiaomi POCO X5 Pro 5G Dual SIM 8GB 256GB 6,67"" FHD+ 108MP 5000mAh 67W Carregamento (Preto)","R$2.359,00","4,8 de 5"
Capa Case Capinha para Xiaomi Redmi Note 11 / 11S - Dinamic Cam Protection - Gshield,"R$99,97","3,7 de 5"
"Geonav Carregador de Parede Universal 2.1A, 2 portas USB, 10W, Bivolt, ESACW2, Branco","R$28,71","4,5 de 5"
"Fortrek HSL-102 - Fone Multimídia, P2 Plug, Preto","R$33,99","4,1 de 5"
"Stylus Active Stylus Compatível Com Apple IPad, Caneta Stylus Para Telas IPads Configuráveis ??ao Toque, Ponto Fino Capacitivo Recarregável De 1,5 Mm Com Tablets IPhone com luvas antiacidentais (Preto)","R$99,00","4,7 de 5"
"Cabo de dados e carregamento Turbo Premium Type-C para Tipo-C 100w 5A 480Mbs 2 metros 200cm com sistema inteligente Power Delivery marca 123smart Para Smartphone, consoles, controles, joystick, PS5, Nintendo Switch, XBOX, Motorola, Xiaomi, outros Poco S21 S22 S23 Macbook Notebook","R$99,50","4,6 de 5"
"Carregador Portátil Universal, Power Bank, 15.000mAh, 2 portas USB, Leds indicativos de carga, Preto, Geonav, PB15000B, 142 x 72 x 12 mm","R$194,90","4,6 de 5"
Pelicula 3D Para Redmi Note 12 Pro Plus 5G (Tela 6.67) - C7 COMPANY,"R$37,90","4,1 de 5"
Smartphone Xiaomi Note 12 5G - 128GB + 4GB Ram (Versao Global) (Forest Green),"R$1.309,00","4,7 de 5"
Capa Capinha Anti-choque Para Redmi Note 12(C7Company),"R$39,90","2,9 de 5"
KIT Capa Anti-Impacto + Pelicula 3D para Redmi Note 12 4G (C7 Company),"R$44,90","4,3 de 5"
"Pelicula 3D Para Redmi Note 12 Pro 4G, Redmi Note 12 Pro 5G (Tela 6.67) - C7 COMPANY (Redmi Note 12 Pro 5G)","R$37,90","3,9 de 5"
Xiaomi Smartphone Redmi 12 4G 128GB - 4GB Ram (Versao Global) (Midnight Black),"R$860,00","4,6 de 5"
Xiaomi Redmi 10 2022 4GB + 64GB (Sea Blue),"R$749,99","4,4 de 5"
Smartphone Xiaomi Poco X5 5g Dual Sim 256gb 8gb Jaguar Black India Preto,"R$1.449,99","4,5 de 5"
Xiaomi Redmi Note 12 Pro 4G (256GB + 8GB) Desbloqueado de fábrica global 6.67 108MP Pro Triple Camera (Tmobile/Tello/Mint USA Market) + Extra (Fast 33w Dual Car Charger) (Graphite Grey (Global)),"R$1.467,00","4,7 de 5"
Smartphone Xiaomi POCO X6 Pro 5G 8GB+256GB Global Version NFC Dimensity 8300-Ultra 64MP triple camera 67W 120Hz AMOLED (Grey),"R$2.189,00","4,7 de 5"
Smartphone Xiaomi Note 12 4G 128GB - 8GB Ram (Versao Global) (Onyx Gray),"R$1.335,00","4,7 de 5"
Smartphone Xiaomi Poco C40 64GB/4GB Dual Chip - Preto,"R$735,00","4,7 de 5"
"Celular Xiaomi Redmi 9A Versão Global 32gb / 2gb Ram/Tela 6.53"" - Green","R$519,45","4,5 de 5"
"Smartphone Xiaomi 12 5G,8GB+256GB,Dual SIM Tela 6.28'' Câmeras 50MP + 13MP + 5MP e 32MP - Cinza","R$2.499,00","4,3 de 5"
"Smartphone Xiaomi POCO C65 6GB+128GB MediaTek Helio G85 Octa Core 5000mAh 6.74"" 90Hz HD+ display 50MP Camera NFC Global Version","R$869,00","4,5 de 5"
Xiaomi Redmi 10 2022 4GB + 128GB (Carbon Gray),"R$785,00","4,7 de 5"
Smartphone Xiaomi Redmi 12C 128GB 6GB Ram (Versao Global)(Mint Green),"R$810,00","4,4 de 5"
Smartphone Xiaomi Redmi Note 12 Pro 5G Dual SIM 256GB - 8GB Ram (Versao Global) (Sky Blue),"R$1.954,99","4,7 de 5"
Smartphone Xiaomi Poco X6 5G 256GB / 12GB Ram (Versao Global) (Branco),"R$1.948,00","5,0 de 5"
